Game Title,Game Genre,Pricing,Developer,Release Date,Platform,Rating,Number of Ratings
Motorsport Manager Mobile 3,Auto Racing Sim,,Playsport Games Ltd,"Jul 19, 2018",iOS (iPhone/iPad),8.5,4
Munchkin: Quacked Quest,Board,,Asmodee,"Nov 19, 2019","Nintendo Switch, PlayStation 4, Xbox One, PC",3.5,11
!Dead Pixels Adventure!,2D Platformer,,DackPostal,"Jun 12, 2018",PC,3.0,4
Petoons Party,Party,,PETOONS STUDIO SL,"Aug 19, 2019","PlayStation 4, PC, Nintendo Switch, Xbox One",3.0,4
PHOGS!,Third-Person Adventure,,Bit Loom Games,"Dec 3, 2020","PC, Nintendo Switch, PlayStation 4, Xbox One",7.4,9
DiRT Rally 2.0,Auto Racing Sim,,Codemasters,"Feb 26, 2019","PlayStation 4, PC, Xbox One",6.4,246
Gray Dawn,First-Person Adventure,,Interactive Stone,"Jun 7, 2018","PC, Xbox Series X, Xbox One, PlayStation 5, PlayStation 4, Nintendo Switch",7.3,49
Field of Glory: Empires,4X Strategy,,AGEOD,"Jul 11, 2019",PC,7.0,20
Life is Strange 2: Episode 2 - Rules,Third-Person Adventure,,DONTNOD Entertainment,"Jan 24, 2019","PlayStation 4, Xbox One, PC",5.3,80
Coloring Pixels,Application,,ToastieLabs,"Aug 17, 2018",PC,8.0,6
Call of Duty: WWII - Shadow War,FPS,,Sledgehammer Games,"Aug 24, 2018","PlayStation 4, Xbox One, PC",0.3,4
Rebel Galaxy Outlaw,Open-World Action,,Double Damage Games,"Aug 13, 2019","Nintendo Switch, PlayStation 4, PC, Xbox One",5.4,125
Marvel's Spider-Man: Silver Lining,Open-World Action,,Insomniac Games,"Dec 21, 2018",PlayStation 4,7.1,151
Old School RuneScape,MMORPG,,Jagex,"Oct 30, 2018","iOS (iPhone/iPad), PC",7.5,77
Kite,Top-Down Shoot-'Em-Up,,Lab Cat games,"Mar 7, 2018",PC,7.0,4
Apocalipsis: Harry at the End of the World,Point-and-Click,,Punch Punk Games,"Feb 28, 2018","PC, Nintendo Switch",6.8,11
Blackwake,Marine Combat Sim,,Mastfire Studios Pty Ltd,"Feb 19, 2020",PC,5.0,4
Castle of no Escape 2,Roguelike,,D.E.X. Team,"Dec 21, 2016","PC, Nintendo Switch, Xbox One, PlayStation 4",7.0,4
Revhead,Auto Racing Sim,,Creative Pudding Hungary Llc.,"Aug 30, 2023","PC, Xbox One, Xbox Series X",6.2,5
